pf.txt	Playa fina				
Muestreo=	4				
Prof. Via1	0.13				
Prof. Via2	0.293				
Prof. Via3	0.455				
Prof. Via4	0.78				
PRES	DIAM	VIA1	VIA2	VIA3	VIA4
111629.2	2.010745	-4.704	-3.916	-3.916	8.874
111204.4	2.009965	-4.704	-2.45	-2.45	9.2402
110731.6	2.009165	-3.972	-1.352	-1.352	9.6064
110234.9	2.008347	-3.606	-0.986	-0.986	9.9726
109856.4	2.007464	-2.874	-0.62	-0.62	9.9726
109406.7	2.007257	-2.506	0.1132	0.1132	9.6064
108856.5	2.007904	-2.14	1.212	1.212	9.2402
108321	2.006771	-2.14	1.9444	1.9444	8.5078
107792.9	2.005262	-1.774	2.3106	2.3106	8.1416
107268.5	2.003953	-1.774	2.6768	2.6768	8.5078
106680.9	2.002481	-1.042	2.3106	2.3106	8.1416
106126.7	2.001058	-0.676	2.6768	2.6768	7.4092
105589.3	1.999385	0.789	2.6768	2.6768	7.043
105190.4	1.998027	1.5214	1.9444	1.9444	5.9444
104730.6	1.99656	1.8876	0.4794	0.4794	5.212
104370.5	1.99519	2.254	0.1132	0.1132	3.747
103865	1.993614	1.8876	0.1132	0.1132	3.0146
103482.1	1.992196	1.1552	0.1132	0.1132	1.916
103030.3	1.989353	-0.31	-0.254	-0.254	1.1836
102674.2	1.986744	-1.408	-0.62	-0.62	0.085
102300.9	1.985474	-2.874	-0.62	-0.62	-1.014
102309.5	1.984234	-4.338	-0.254	-0.254	-2.112
102769.5	1.982137	-4.704	-0.62	-0.62	-3.212
102999.4	1.980152	-5.07	-0.254	-0.254	-3.578
102658.8	1.978856	-5.07	-1.352	-1.352	-3.944
102032.9	1.977591	-3.972	-1.718	-1.718	-3.944
101654.8	1.976208	-3.24	-1.718	-1.718	-4.31
101465.8	1.974571	-2.14	-1.352	-1.352	-4.31
101110.9	1.973098	-1.042	-1.718	-1.718	-4.31
100868.4	1.971381	-1.042	-1.718	-1.718	-4.31
100617	1.971451	0.0566	-1.352	-1.352	-4.676
100686.5	1.970731	0.789	-0.986	-0.986	-4.31
100591.1	1.96876	1.5214	-0.986	-0.986	-3.944
100478.3	1.966497	1.8876	-1.352	-1.352	-3.578
100226.7	1.964411	2.254	-1.352	-1.352	-3.578
99970.65	1.962288	1.5214	-1.352	-1.352	-2.844
99777.57	1.960182	1.1552	-1.352	-1.352	-1.746
99615.93	1.95809	1.1552	-1.718	-1.718	-1.38
99925.64	1.956159	0.789	-1.718	-1.718	-1.38
100536.1	1.95447	0.789	-1.352	-1.352	-1.38
101687.5	1.95295	0.0566	-0.986	-0.986	-1.746
103499.9	1.951875	0.4228	-0.62	-0.62	-1.014
105642.7	1.951496	0.4228	-0.62	-0.62	-1.38
108015.9	1.951792	0.789	0.1132	0.1132	-0.648
110569.3	1.952842	1.1552	0.4794	0.4794	0.4512
113278	1.955011	2.254	1.9444	1.9444	1.916
115934	1.9576	3.7188	3.4092	3.4092	3.0146
118368.6	1.958706	5.5498	5.2402	5.2402	4.4794
120627.3	1.962052	7.747	8.17	8.17	6.6768
122798	1.966877	10.3106	10.7334	10.7334	9.6064
124794.6	1.971855	12.1416	14.0292	14.0292	13.2686
126378.7	1.975503	13.6064	18.0576	18.0576	17.2968
128082	1.98055	15.0712	22.4522	22.4522	21.6914
129649.6	1.986316	16.5362	26.4804	26.4804	25.3536
130954.1	1.991849	16.9024	29.7764	29.7764	29.3818
132192.2	1.996731	15.4376	32.706	32.706	33.4102
133266.8	2.002055	14.705	35.2696	35.2696	37.4384
134324.8	2.007385	14.705	37.833	37.833	40.3682
135114.2	2.012672	16.5362	39.664	39.664	42.1992
135964.4	2.017921	19.832	41.129	41.129	43.2978
136780.2	2.022791	23.4942	42.5938	42.5938	44.3964
137448.3	2.02737	28.2548	43.6924	43.6924	45.129
137977.8	2.031786	32.2832	45.1572	45.1572	46.5938
138567.7	2.03576	34.4804	46.622	46.622	47.6924
138927.9	2.039728	35.2128	47.7208	47.7208	48.791
138977.9	2.043299	35.5792	48.8194	48.8194	49.8896
